Sweep,SD,Value,PC
89,4,68.604,PC2
90,4,66.177,PC2
91,4,63.527,PC2
92,4,60.598,PC2
93,4,57.394,PC2
94,4,53.861,PC2
95,4,49.842,PC2
96,4,45.273,PC2
97,4,40.056,PC2
98,4,33.682,PC2
99,4,25.605,PC2
100,4,13.313,PC2
1,5,14.001,PC2
2,5,26.913,PC2
3,5,35.039,PC2
4,5,41.431,PC2
5,5,46.603,PC2
6,5,51.09,PC2
7,5,54.914,PC2
8,5,58.303,PC2
9,5,61.354,PC2
10,5,64.161,PC2
11,5,66.712,PC2
12,5,68.991,PC2
13,5,71.133,PC2
14,5,73.166,PC2
15,5,74.998,PC2
16,5,76.707,PC2
17,5,78.29,PC2
18,5,79.749,PC2
19,5,81.143,PC2
20,5,82.482,PC2
21,5,83.7,PC2
22,5,84.836,PC2
23,5,85.892,PC2
24,5,86.901,PC2
25,5,87.812,PC2
26,5,88.686,PC2
27,5,89.493,PC2
28,5,90.23,PC2
29,5,90.906,PC2
30,5,91.536,PC2
31,5,92.149,PC2
32,5,92.656,PC2
33,5,93.207,PC2
34,5,93.706,PC2
35,5,94.153,PC2
36,5,94.52,PC2
37,5,94.886,PC2
38,5,95.213,PC2
39,5,95.461,PC2
40,5,95.736,PC2
41,5,95.972,PC2
42,5,96.206,PC2
43,5,96.386,PC2
44,5,96.528,PC2
45,5,96.665,PC2
46,5,96.771,PC2
47,5,96.868,PC2
48,5,96.916,PC2
49,5,97.015,PC2
50,5,97.041,PC2
51,5,97.083,PC2
52,5,97.03,PC2
53,5,97.013,PC2
54,5,97.01,PC2
55,5,96.937,PC2
56,5,96.839,PC2
57,5,96.778,PC2
58,5,96.679,PC2
59,5,96.566,PC2
60,5,96.394,PC2
61,5,96.223,PC2
62,5,95.997,PC2
63,5,95.773,PC2
64,5,95.54,PC2
65,5,95.291,PC2
66,5,94.937,PC2
67,5,94.618,PC2
68,5,94.169,PC2
69,5,93.762,PC2
70,5,93.313,PC2
71,5,92.806,PC2
72,5,92.232,PC2
73,5,91.639,PC2
74,5,90.957,PC2
75,5,90.18,PC2
76,5,89.429,PC2
77,5,88.547,PC2
78,5,87.625,PC2
79,5,86.617,PC2
80,5,85.515,PC2
81,5,84.301,PC2
82,5,83.021,PC2
83,5,81.683,PC2
84,5,80.18,PC2
85,5,78.678,PC2
86,5,76.919,PC2
87,5,75.103,PC2
88,5,73.001,PC2
89,5,70.821,PC2
90,5,68.44,PC2
91,5,65.841,PC2
92,5,62.919,PC2
93,5,59.744,PC2
94,5,56.203,PC2
95,5,52.128,PC2
96,5,47.473,PC2
97,5,42.114,PC2
98,5,35.514,PC2
99,5,27.081,PC2
100,5,14.079,PC2
1,1,12.279,PC3
2,1,23.936,PC3
3,1,31.467,PC3
4,1,37.529,PC3
5,1,42.558,PC3
6,1,46.903,PC3
7,1,50.666,PC3
8,1,53.987,PC3
9,1,57.105,PC3
10,1,59.955,PC3
11,1,62.569,PC3
12,1,64.939,PC3
13,1,67.175,PC3
14,1,69.255,PC3
15,1,71.221,PC3
16,1,72.991,PC3
17,1,74.784,PC3
18,1,76.403,PC3
19,1,77.938,PC3
20,1,79.437,PC3
21,1,80.879,PC3
22,1,82.176,PC3
23,1,83.422,PC3
24,1,84.619,PC3
25,1,85.699,PC3
26,1,86.797,PC3
27,1,87.771,PC3
28,1,88.712,PC3
29,1,89.624,PC3
30,1,90.427,PC3
31,1,91.222,PC3
32,1,91.941,PC3
33,1,92.692,PC3
34,1,93.37,PC3
35,1,94.057,PC3
36,1,94.626,PC3
37,1,95.168,PC3
